Release Date,Time,Actual,Forecast,Previous,
"Sep 01, 2004 (Aug)",05:00,-5.00, ,-3.00,
"Aug 01, 2004 (Jul)",05:00,-3.00, ,-4.00,
"Jul 01, 2004 (Jun)",05:00,-4.00, ,-2.00,
"Jun 01, 2004 (May)",05:00,-2.00, ,-2.00,
"May 01, 2004 (Apr)",05:00,-2.00, ,-3.00,
"Apr 01, 2004 (Mar)",05:00,-3.00, ,-2.00,
"Mar 01, 2004 (Feb)",05:00,-2.00, ,0.00,
"Feb 01, 2004 (Jan)",05:00,0.00, ,-5.00,
"Jan 01, 2004 (Dec)",05:00,-5.00, ,-6.00,
"Dec 01, 2003 (Nov)",05:00,-6.00, ,-3.00,
"Nov 01, 2003 (Oct)",05:00,-3.00, ,-3.00,
"Oct 01, 2003 (Sep)",05:00,-3.00, ,-3.00,
"Sep 01, 2003 (Aug)",05:00,-3.00, ,-1.00,
"Aug 01, 2003 (Jul)",05:00,-1.00, ,-2.00,
"Jul 01, 2003 (Jun)",05:00,-2.00, ,-3.00,
"Jun 01, 2003 (May)",05:00,-3.00, ,-5.00,
"May 01, 2003 (Apr)",05:00,-5.00, ,-10.00,
"Apr 01, 2003 (Mar)",05:00,-10.00, ,-9.00,
"Mar 01, 2003 (Feb)",05:00,-9.00, ,-3.00,
"Feb 01, 2003 (Jan)",05:00,-3.00, ,-4.00,
"Jan 01, 2003 (Dec)",05:00,-4.00, ,2.00,
"Dec 01, 2002 (Nov)",05:00,2.00, ,1.00,
"Nov 01, 2002 (Oct)",05:00,1.00, ,4.00,
"Oct 01, 2002 (Sep)",05:00,4.00, ,2.00,
"Sep 01, 2002 (Aug)",05:00,2.00, ,2.00,
"Aug 01, 2002 (Jul)",05:00,2.00, ,6.00,
"Jul 01, 2002 (Jun)",05:00,6.00, ,6.00,
"Jun 01, 2002 (May)",05:00,6.00, ,4.00,
"May 01, 2002 (Apr)",05:00,4.00, ,3.00,
"Apr 01, 2002 (Mar)",05:00,3.00, ,5.00,
"Mar 01, 2002 (Feb)",05:00,5.00, ,6.00,
"Feb 01, 2002 (Jan)",05:00,6.00, ,-1.00,
"Jan 01, 2002 (Dec)",05:00,-1.00, ,-3.00,
"Dec 01, 2001 (Nov)",05:00,-3.00, ,-5.00,
"Nov 01, 2001 (Oct)",05:00,-5.00, ,-1.00,
"Oct 01, 2001 (Sep)",05:00,-1.00, ,0.00,
"Sep 01, 2001 (Aug)",05:00,0.00, ,4.00,
"Aug 01, 2001 (Jul)",05:00,4.00, ,6.00,
"Jul 01, 2001 (Jun)",05:00,6.00, ,2.00,
"Jun 01, 2001 (May)",05:00,2.00, ,1.00,
"May 01, 2001 (Apr)",05:00,1.00, ,3.00,
"Apr 01, 2001 (Mar)",05:00,3.00, ,2.00,
